Skola;Skolkommun;Typ av huvudman;Antal ungdomar;Etablerade efter ett år;Etablerade efter tre år
Herrgårdsgymnasiet A;Säffle;Kommunal;27;..;51,9
Sandbackaskolan;Arvidsjaur;Kommunal;21;47,6;52,4
Lunds Fordonstekniska Gymn.;Lund;Enskild;19;..;57,9
Sunne Gymnasieskola / Södra Viken;Sunne;Kommunal;26;46,2;61,5
Rönnowska skolan;Helsingborg;Kommunal;19;..;63,2
Erikslundsgymnasiet;Borlänge;Kommunal;26;..;65,4
Nobelgymnasiet;Karlstad;Kommunal;27;48,1;66,7
Törnströmska gymnasiet;Karlskrona;Kommunal;18;..;66,7
Nyköpings gymnasium Skavsta;Nyköping;Kommunal;27;..;66,7
Sthlm Transp&Fordon 87274273;Stockholm;Kommunal;49;55,1;67,3
Rekarnegymnasiet 2;Eskilstuna;Kommunal;41;53,7;68,3
Fordonsutbildn. i Örebro;Örebro;Enskild;17;..;70,6
Wendesgymnasiet 2;Kristianstad;Kommunal;18;..;72,2
Liljaskolan, sektor A;Vännäs;Kommunal;26;38,5;73,1
Borgarskolan;Gävle;Kommunal;19;..;73,7
Tannbergsskolan 1;Lycksele;Kommunal;23;60,9;73,9
Yrkesplugget;Stockholm;Enskild;27;37,0;74,1
Strömbacka Magne;Piteå;Kommunal;27;51,9;74,1
Elof Lindälvs gymn Enhet 1;Kungsbacka;Kommunal;31;61,3;74,2
Svalöfs gymnasium;Svalöv;Kommunal;32;56,3;75,0
Malenagymnasiet;Sjöbo;Kommunal;32;65,6;75,0
Motorsportsgymn. Anderstorp;Gislaved;Enskild;20;..;75,0
Parkgymnasiet;Ystad;Kommunal;24;..;75,0
Staffangymnasiet C;Söderhamn;Kommunal;13;76,9;76,9
Hagströmska gymnasiet Falun;Falun;Enskild;13;..;76,9
Katedralskolan Skara Ro B;Skara;Kommunal;13;..;76,9
Jämtlands Gymn, Fyrvalla 4B;Östersund;Kommunal;49;51,0;77,6
Oscarsgymnasiet A;Oskarshamn;Kommunal;23;65,2;78,3
SYAB Transportgymnasium;Kalmar;Enskild;29;34,5;79,3
Rodens Yrkesgymnasium;Norrtälje;Kommunal;15;66,7;80,0
Uddevalla gymnasieskola FT;Uddevalla;Kommunal;45;73,3;80,0
Fredrika Bremergy Fredrik;Haninge;Kommunal;26;65,4;80,8
Upplands-Brogymnasiet;Upplands-Bro;Kommunal;21;61,9;81,0
G.O. Kompetens Transportgymnasium;Helsingborg;Enskild;21;71,4;81,0
Björknäsgymnasiet sektor 3;Boden;Kommunal;21;81,0;81,0
Älvdalens Utbildningscentrum;Älvdalen;Enskild;21;81,0;81,0
Framtidsgymnasiet Burlöv/Malmö;Malmö;Enskild;16;..;81,3
Bessemerskolan;Sandviken;Kommunal;33;48,5;81,8
Edströmska;Västerås;Kommunal;45;46,7;82,2
Vägga gymnasieskola 2;Karlshamn;Kommunal;17;..;82,4
Yrkesplugget Uppsala;Uppsala;Enskild;17;..;82,4
Kungsmadskolan 1;Växjö;Kommunal;23;43,5;82,6
Anderstorpsskolan;Skellefteå;Kommunal;35;60,0;82,9
Motorbranschens Tekniska gymn.;Göteborg;Kommunal;54;53,7;83,3
Tegelbruksskolan;Klippan;Kommunal;24;66,7;83,3
Porthälla gymnasium Nat.Prg.;Partille;Kommunal;12;..;83,3
Haraldsbogymnasiet;Falun;Kommunal;18;..;83,3
Bäckadalsgymnasiet Ro3/Fordon;Jönköping;Kommunal;55;67,3;83,6
Kattegattgymnasiet 4;Halmstad;Kommunal;19;73,7;84,2
Tullängsskolan;Örebro;Kommunal;46;60,9;84,8
Sunnerbogymnasiet 1;Ljungby;Kommunal;20;60,0;85,0
Välkommaskolan, enhet 4;Gällivare;Kommunal;20;65,0;85,0
Fågelviksgymnasiet, enhet 1;Tibro;Kommunal;14;71,4;85,7
Liljaskolan, sektor D;Vännäs;Kommunal;22;59,1;86,4
Vretagymnasiet;Linköping;Landsting;15;66,7;86,7
Örnsköldsviks Gymnasium Gamma;Örnsköldsvik;Kommunal;25;60,0;88,0
Malmen;Ludvika;Kommunal;17;..;88,2
Bolandgymnasiet;Uppsala;Kommunal;28;60,7;89,3
Bräckegymnasiet 3;Göteborg;Kommunal;28;67,9;89,3
Ebersteinska gymnasiet 1;Norrköping;Kommunal;19;..;89,5
Viskastrandsgymnasiet A;Borås;Kommunal;42;66,7;90,5
Bergagymnasiet;Eslöv;Kommunal;11;..;90,9
Ullvigymnasiet;Köping;Kommunal;11;..;90,9
Anders Ljungstedts gymnasium 4;Linköping;Kommunal;11;..;90,9
Åkrahällskolan Akra01;Nybro;Kommunal;11;..;90,9
Lindeskolan LS 2;Lindesberg;Kommunal;13;..;92,3
Mimers Hus Gymnasium 1;Kungälv;Kommunal;27;92,6;92,6
Lars Kaggskolan 4 BA, FT, HV;Kalmar;Kommunal;14;..;92,9
Torekällgymnasiet;Södertälje;Kommunal;16;62,5;93,8
Christopher Polhemgymnasiet;Gotland;Kommunal;16;68,8;93,8
Högbergsskolan;Tierp;Kommunal;18;61,1;94,4
Katrineholms Tekniska College;Katrineholm;Kommunal;19;57,9;94,7
Nifsarpsskolan fri;Eksjö;Enskild;41;82,9;95,1
Kavelbro enhet 12;Skövde;Kommunal;26;65,4;96,2
Nils Holgerssongy i Skurup;Skurup;Kommunal;16;..;100,0
